id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Wind,Cactus Rose,country,nostalgic,0.54,96,0.73,0.61,0.83
12,Burn the Floor,DJ Krypt,edm,euphoric,0.97,140,0.88,0.95,0.03
13,Sad Trombone Blues,The Low Keys,blues,melancholy,0.38,68,0.28,0.44,0.76
14,Bamboo Garden,Shen Mei,classical,peaceful,0.22,52,0.67,0.30,0.97
15,Street Cypher,Mic Doctrine,hip-hop,confident,0.80,95,0.62,0.84,0.11
16,Mango Sunset,Tropica,reggae,uplifted,0.61,82,0.86,0.76,0.55
17,Glass Bones,Vera Noir,r&b,romantic,0.55,104,0.74,0.70,0.42
18,Iron March,Stormfront,metal,angry,0.96,168,0.22,0.52,0.06
19,Rainy Season,Hana Yuki,folk,sad,0.30,74,0.34,0.45,0.91
20,Neon Carnival,Pixel Drift,electropop,playful,0.84,126,0.91,0.87,0.14
